,Bandages,Black Blossom Curls,Lilac Blossom Curls,Booger Hood,Candle,Black Cyclops Kitty,White Cyclops Kitty,Black Deceptive Hood,Purple Deceptive Hood,Eclipse,Enchanting Gaze,Blonde Glorious Mullet,Red Glorious Mullet,Half Skelly,Harlequin,Imp Hood,Jester,Misty Face,Shrouded,Smiley,Reverse Smiley,Void
Gold Crown,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Silver Crown,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Thunder Storm,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Silly Hat Red,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Silly Hat Blue,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Moon Spell,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n
Night Sky,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Arrow,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Cherries,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Potion,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Skelly,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Gakko,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Unicorn,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Scruffy Mage Beige,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Scruffy Mage Indigo,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Butterfly,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Red Strawberry,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Pink Strawberry,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Adventurer Mushroom,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Rogue Mushroom,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Muse Mushroom,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Mystic Mushroom,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Warrior Mushroom,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Leafy,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,n
Petal,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,n
Bold Horns,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Muted Horns,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Wolf Hood,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Flames,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n
Wings,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Sinister Skull,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Omniscient Hat,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Enchanted Crow,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Winged Helmet,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Tattoo,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,n
Dusky Cloud,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Candy Cloud,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Pastel Cloud,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Sour Slime,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Minty Slime,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Spicy Slime,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Sweet Wonderland,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Electric Wonderland,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Yellow Halo,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n
White Halo,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n
Blue Jelly,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Green Jelly,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Blonde Shaggy,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Green Shaggy,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Blue Star,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,n
Orange Star,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,n
Medusa,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Teal Spikey,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Orange Spikey,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Icy Streaky,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Neon Streaky,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Yellow Tulip,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Grey Tulip,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Purple Flash,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,n
Green Flash,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,n
Grey Gloopy,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Lilac Gloopy,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
Peach Gloopy,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
