,Bandages,Black Blossom Curls,Lilac Blossom Curls,Booger Hood,Candle,Black Cyclops Kitty,White Cyclops Kitty,Black Deceptive Hood,Purple Deceptive Hood,Eclipse,Enchanting Gaze,Blonde Glorious Mullet,Red Glorious Mullet,Half Skelly,Harlequin,Imp Hood,Jester,Misty Face,Shrouded,Smiley,Reverse Smiley,Void
Big Grin,n,y,y,n,n,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Bloody,n,y,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n
Braces,n,y,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n
Bubblegum,n,y,y,n,y,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Cheeky Tongue,n,y,y,y,y,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Fangs Grin,n,y,y,n,y,n,n,n,n,n,y,n,n,n,n,y,n,n,n,n,n,n
Fangs Smile,n,y,y,y,y,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Fangs Glowing,n,y,y,n,n,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Goofy,n,y,y,n,y,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Grimace,n,y,y,n,y,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Grin,n,y,y,y,y,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Growl,n,y,y,n,n,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Kissy,n,y,y,n,y,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Lick,n,y,y,y,y,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Missing Tooth,n,y,y,n,y,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Munch,n,y,y,y,y,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Pout,n,y,y,y,y,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Sad,n,y,y,y,y,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Shocked,n,y,y,y,y,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Slanted,n,y,y,y,y,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Smile,n,y,y,y,y,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Smirk,n,y,y,y,y,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Straight,n,y,y,y,y,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
Unsure,n,y,y,y,n,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n
